gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CD1C|911	126.5538471	1.765562488	0.306700344	5.756636803	8.58E-09	2.62E-06
HIST1H1E|3008	7.149774985	-1.652911313	0.287067429	-5.757920085	8.52E-09	2.62E-06
C2orf3|6936	374.142259	-0.522012364	0.091343569	-5.714823374	1.10E-08	3.30E-06
SACS|26278	325.3520629	-0.813166469	0.142598721	-5.702480815	1.18E-08	3.49E-06
ADD2|119	58.2587443	1.942586831	0.341308292	5.691589909	1.26E-08	3.66E-06
DNAJB4|11080	321.6530526	-1.000387037	0.176061835	-5.682020945	1.33E-08	3.76E-06
SYDE1|85360	277.5447414	-0.897217093	0.157872764	-5.683165785	1.32E-08	3.76E-06
VENTX|27287	29.20783417	1.255971649	0.221267088	5.676269621	1.38E-08	3.83E-06
NEDD4|4734	326.2258319	-0.871980494	0.15396073	-5.66365524	1.48E-08	4.00E-06
ORM2|5005	182.715914	2.590300308	0.457254341	5.664900425	1.47E-08	4.00E-06
HAS2AS|594842	5.025464439	-1.762863877	0.311498375	-5.659303601	1.52E-08	4.05E-06
OXTR|5021	70.20624116	-1.641473088	0.291707618	-5.627117661	1.83E-08	4.81E-06
NEURL|9148	72.4980239	2.458896233	0.437806206	5.616403325	1.95E-08	5.04E-06
GGTLC1|92086	389.2756891	2.208247705	0.393870521	5.606532065	2.06E-08	5.27E-06
FCRL1|115350	27.21278032	2.049684714	0.366273617	5.596047927	2.19E-08	5.47E-06
ORM1|5004	389.9029916	2.308526993	0.412581554	5.595322842	2.20E-08	5.47E-06
GRIN2A|2903	47.47229837	3.001325435	0.536964556	5.589429321	2.28E-08	5.58E-06
SNAI2|6591	262.2039546	-1.369397321	0.245469309	-5.578690577	2.42E-08	5.86E-06
CR2|1380	291.26533	2.022692889	0.36353806	5.563909562	2.64E-08	6.30E-06
LOC283174|283174	190.2408002	1.974799172	0.355252232	5.558864929	2.72E-08	6.40E-06
PGM5|5239	209.1750606	1.410112583	0.253923787	5.553290622	2.80E-08	6.53E-06
SLC25A15|10166	337.3759246	-0.766752459	0.138223567	-5.547190496	2.90E-08	6.68E-06
HHLA2|11148	741.5030125	3.082507554	0.557340368	5.530745176	3.19E-08	7.24E-06
ALG10|84920	124.5907184	-0.714702736	0.129613666	-5.514100176	3.51E-08	7.85E-06
CD177|57126	131.8147192	2.584709252	0.468880642	5.512510051	3.54E-08	7.85E-06
ZC3H15|55854	1425.121192	-0.452027079	0.082037418	-5.51001104	3.59E-08	7.86E-06
PLEKHB1|58473	879.4285217	1.142515372	0.207590095	5.503708514	3.72E-08	8.06E-06
C12orf11|55726	525.2452544	-0.675009931	0.122955328	-5.489879471	4.02E-08	8.58E-06
HOXD8|3234	49.38801582	-1.897302413	0.345683588	-5.488552195	4.05E-08	8.58E-06
C11orf41|25758	55.90462816	-1.889475667	0.344578036	-5.483447789	4.17E-08	8.73E-06
NT5C1A|84618	3.423540682	4.128197122	0.753606251	5.477923145	4.30E-08	8.91E-06
PIGR|5284	21260.33468	2.194070588	0.400723432	5.475273994	4.37E-08	8.94E-06
PEBP4|157310	410.0697333	2.474134629	0.452694425	5.465352541	4.62E-08	9.36E-06
E2F7|144455	92.46764434	-1.420218958	0.260042605	-5.461485663	4.72E-08	9.36E-06
HLA-DQB2|3120	1137.185718	1.811576635	0.331609956	5.462974203	4.68E-08	9.36E-06
FAM3D|131177	104.4225524	2.427696673	0.445245342	5.452492023	4.97E-08	9.74E-06
MTMR2|8898	844.1933541	-0.537737363	0.098658955	-5.450466853	5.02E-08	9.75E-06
CX3CR1|1524	113.9166584	1.47327055	0.271100355	5.434410261	5.50E-08	1.06E-05
ADRA1B|147	39.40154974	-1.544730679	0.284907206	-5.421872962	5.90E-08	1.10E-05
CTSH|1512	12427.60198	1.376362545	0.253722811	5.424670086	5.81E-08	1.10E-05
RASGRP2|10235	133.7971511	1.293480274	0.238555689	5.422131319	5.89E-08	1.10E-05
